stride_number,start_time_sec,end_time_sec,duration_sec,min_angle_deg,max_angle_deg,rom_deg
1,34.36240220069885,35.31976389884949,0.9573616981506348,-9.128549685660804,3.583339467136397,12.711889152797202
2,35.31976389884949,35.89386034011841,0.5740964412689209,3.583339467136397,28.357169797719756,24.77383033058336
3,35.89386034011841,36.815237045288086,0.9213767051696777,6.6830191678294115,23.775632323273637,17.092613155444226
4,36.815237045288086,37.31706476211548,0.5018277168273926,6.603605904159354,14.010073667916041,7.406467763756687
5,37.31706476211548,38.05813002586365,0.741065263748169,3.393173942942586,12.532160748186113,9.138986805243528
6,38.05813002586365,38.643991470336914,0.5858614444732666,-1.4346798708424218,14.314996421307251,15.749676292149672
7,38.643991470336914,39.36133885383606,0.7173473834991455,3.783050604090321,11.880074628207588,8.097024024117268
8,39.36133885383606,39.91171479225159,0.5503759384155273,1.394111007300117,24.85333668736734,23.45922568006722
9,39.91171479225159,40.641568183898926,0.7298533916473389,6.660869751369105,22.600577163868603,15.939707412499498
10,40.641568183898926,41.20494365692139,0.5633754730224609,2.2134864156577425,16.76429532366509,14.550808908007346
11,41.20494365692139,41.94685983657837,0.7419161796569824,4.500214657922726,15.147623889155192,10.647409231232466
12,41.94685983657837,42.521008253097534,0.574148416519165,-5.818877180765436,7.6602699614428245,13.47914714220826
13,42.521008253097534,43.28622317314148,0.7652149200439453,0.18031219483203778,7.436902416247054,7.256590221415016
14,43.28622317314148,43.872286558151245,0.5860633850097656,-1.9574299111132114,15.084650984695323,17.042080895808535
15,43.872286558151245,44.70976686477661,0.8374803066253662,9.574374157452024,13.493778473633899,3.9194043161818755
16,44.70976686477661,45.23609948158264,0.5263326168060303,11.342317297111375,39.8301803628644,28.48786306575302
17,45.23609948158264,47.0432870388031,1.807187557220459,12.317074997508406,35.681234831859804,23.364159834351398
18,47.0432870388031,48.47734546661377,1.434058427810669,-12.276904293262321,12.317074997508406,24.593979290770726
19,48.47734546661377,49.25576734542847,0.7784218788146973,-3.7619982023860032,3.210713894590759,6.972712096976762
20,49.25576734542847,49.80662298202515,0.5508556365966797,-8.381858610440384,4.95430093395563,13.336159544396015
21,49.80662298202515,50.656360149383545,0.8497371673583984,-6.6810045180414575,5.954972192302908,12.635976710344366
22,50.656360149383545,51.123727321624756,0.46736717224121094,-10.32025405458133,2.6503419135737087,12.970595968155038
23,51.123727321624756,51.88916254043579,0.7654352188110352,-1.6752281059166692,5.210866666345065,6.886094772261734
24,51.88916254043579,52.46285629272461,0.5736937522888184,-13.6126012184502,-0.9116939243745489,12.700907294075652
25,52.46285629272461,53.19297218322754,0.7301158905029297,-3.0468928442292627,3.08899284442288,6.1358856886521425
26,53.19297218322754,53.828163623809814,0.6351914405822754,-30.111615615366766,-0.17546388556806286,29.936151729798702
27,53.828163623809814,54.868956327438354,1.04079270362854,-34.46301927920108,-2.8748130434460126,31.588206235755067
28,54.868956327438354,55.30073690414429,0.4317805767059326,-38.583327060770735,-20.953112024486828,17.630215036283907
29,55.30073690414429,56.675841093063354,1.3751041889190674,-42.18725631490903,-5.536104177674171,36.65115213723486
30,56.675841093063354,57.70502328872681,1.0291821956634521,-35.600912819564975,-5.907097261918412,29.693815557646563
31,57.70502328872681,58.124191761016846,0.41916847229003906,-41.941557282546796,-25.561739939278514,16.379817343268282
32,58.124191761016846,59.14133977890015,1.0171480178833008,-32.99931443632127,-6.097633380364554,26.901681055956715
33,59.14133977890015,59.595914363861084,0.4545745849609375,-40.080453146048846,-22.793350545205247,17.2871026008436
34,59.595914363861084,60.62375855445862,1.0278441905975342,-33.35557935953435,-5.645888315623062,27.709691043911292
35,60.62375855445862,62.47759532928467,1.8538367748260498,-41.83794668095489,-6.657140660721004,35.18080602023389
36,62.47759532928467,63.17289090156555,0.6952955722808838,-20.70710359463065,-3.7800095357383108,16.927094058892337
37,63.17289090156555,63.75955319404602,0.5866622924804688,-3.8226039652418864,20.69840748100146,24.521011446243346
38,63.75955319404602,64.45375347137451,0.6942002773284912,10.681962374788498,18.0621912763848,7.380228901596304
39,64.45375347137451,65.06488418579102,0.6111307144165039,6.275487831052663,10.681962374788498,4.406474543735834
40,65.06488418579102,65.7952573299408,0.7303731441497803,2.2951307067721567,9.480119731611996,7.184989024839839
41,65.7952573299408,66.36885213851929,0.5735948085784912,-7.441183864963341,3.823208014554042,11.264391879517383
42,66.36885213851929,67.20612382888794,0.8372716903686523,-4.63705931677853,5.0049771283317375,9.642036445110268
43,67.20612382888794,67.70885705947876,0.5027332305908203,-5.756950623932018,10.945800763100822,16.70275138703284
44,67.70885705947876,68.43886852264404,0.7300114631652832,6.854116559744339,14.17560769645836,7.321491136714021
45,68.43886852264404,69.06072783470154,0.6218593120574951,14.17560769645836,70.23563799993754,56.06003030347918
46,69.06072783470154,69.81396317481995,0.7532353401184082,19.800525283854476,56.87646808916373,37.07594280530925
47,69.81396317481995,70.43514394760132,0.6211807727813721,17.627072241944738,27.88000335242567,10.252931110480933
48,70.43514394760132,71.15380215644836,0.7186582088470459,5.515061862072096,24.56903524028668,19.053973378214586
49,71.15380215644836,71.71635746955872,0.5625553131103516,-1.1919691221466187,12.153991184162209,13.345960306308827
50,71.71635746955872,72.46960544586182,0.7532479763031006,4.58685147708195,11.215224383259267,6.628372906177317
51,72.46960544586182,73.02000999450684,0.5504045486450195,-6.579078583692813,4.767425421319392,11.346504005012205
52,73.02000999450684,73.83334016799927,0.8133301734924316,-6.450277651406133,5.592788913920018,12.043066565326152
53,73.83334016799927,74.32360911369324,0.4902689456939697,-23.676624308780564,-6.450277651406133,17.22634665737443
54,74.32360911369324,75.11281895637512,0.7892098426818848,-11.411031724220427,-1.0434601092320355,10.367571614988393
55,75.11281895637512,75.70039749145508,0.587578535079956,-34.34003616238405,-7.186918386645263,27.15311777573879
56,75.70039749145508,77.05397129058838,1.3535737991333008,-20.036440708294446,2.6420965876602343,22.67853729595468
57,77.05397129058838,77.78419733047485,0.7302260398864746,-0.2674555668619437,7.154340316861464,7.421795883723408
58,77.78419733047485,78.42919445037842,0.6449971199035645,-6.554006756991709,7.019787336789245,13.573794093780954
59,78.42919445037842,79.44928097724915,1.0200865268707275,-22.20410133636788,3.5606189617834385,25.764720298151317
60,79.44928097724915,81.53095197677612,2.0816709995269775,-49.24158251839122,-6.834290767411555,42.40729175097967
61,81.53095197677612,82.24401116371155,0.7130591869354248,-23.8967765933412,-6.060050842659179,17.83672575068202
62,82.24401116371155,82.95648217201233,0.7124710083007812,-9.690198284500545,10.40569340774296,20.095891692243505
63,82.95648217201233,83.75198268890381,0.7955005168914795,4.657615154099829,9.086418946585848,4.428803792486019
64,83.75198268890381,84.35462355613708,0.6026408672332764,1.724276299394822,10.879262823564328,9.154986524169507
65,84.35462355613708,85.67766237258911,1.3230388164520264,-1.0302397032550543,12.639875710209903,13.670115413464957
66,85.67766237258911,86.38661527633667,0.7089529037475586,5.470813618194764,12.042400447940322,6.5715868297455575
67,86.38661527633667,86.98780536651611,0.6011900901794434,2.217055014515491,21.204257576860748,18.987202562345256
68,86.98780536651611,87.70838856697083,0.7205832004547119,5.928966631298256,18.706523335586436,12.77755670428818
69,87.70838856697083,88.26144862174988,0.5530600547790527,-2.775543222934674,10.750543882967248,13.526087105901922
70,88.26144862174988,88.9946391582489,0.7331905364990234,2.141580134342384,9.559079216443132,7.417499082100749
71,88.9946391582489,89.5823884010315,0.5877492427825928,-12.050990850655719,2.881804684629675,14.932795535285393
72,89.5823884010315,90.30339217185974,0.7210037708282471,-0.21621300459741968,4.788450084443834,5.004663089041254
73,90.30339217185974,91.01213669776917,0.7087445259094238,3.3408323449182062,48.88315017777567,45.542317832857464
74,91.01213669776917,91.72041988372803,0.7082831859588623,19.04695769839425,37.41525210272559,18.368294404331337
75,91.72041988372803,92.32089614868164,0.6004762649536133,19.569358136937712,35.371713874076924,15.802355737139212
76,92.32089614868164,93.04145097732544,0.7205548286437988,10.593352205500619,31.233869703205595,20.640517497704977
77,93.04145097732544,93.6054174900055,0.5639665126800537,4.805660831970986,17.747466789922438,12.941805957951452
78,93.6054174900055,94.31354546546936,0.7081279754638672,4.219123835245565,16.116151922682853,11.897028087437288
79,94.31354546546936,94.8789689540863,0.5654234886169434,-11.003367902629765,4.219123835245565,15.22249173787533
80,94.8789689540863,95.56290078163147,0.683931827545166,-2.650992374168726,3.423952193847138,6.074944568015864
81,95.56290078163147,96.15090847015381,0.5880076885223389,-31.197991819305738,-0.5898108535574588,30.60818096574828
82,96.15090847015381,96.85808515548706,0.707176685333252,-15.989542049170606,-3.1588771905081012,12.830664858662505
