sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz,time_sec,dt,lower_vertical_g,lower_anterior_g,upper_vertical_g,upper_anterior_g,lower_flexion_rate_dps,upper_flexion_rate_dps,lower_acc_angle_deg,upper_acc_angle_deg,lower_angle_deg,upper_angle_deg,knee_angle_raw_deg,knee_angle_deg,knee_angle_smooth_deg,lower_acc_norm_g,upper_acc_norm_g,lower_gyro_norm_dps,upper_gyro_norm_dps,motion_intensity,motion_intensity_smooth,lower_acc_norm_smooth,jerk,abs_jerk_smooth
1,1779654295.6599867,-0.919189453125,0.251708984375,-0.189208984375,-2.1908396946564888,-2.0,-2.3587786259541983,-0.058837890625,-0.99267578125,0.079345703125,1.916030534351145,1.938931297709924,1.9465648854961832,0.0,0.011963129043579102,0.919189453125,-0.189208984375,0.99267578125,0.079345703125,-2.0,-1.916030534351145,-11.631487044262643,4.570000727584482,-11.631487044262643,4.570000727584482,-16.201487771847127,-0.3734695181902943,-0.40766139833831927,0.9716309501655191,0.9975784904747586,3.7899360382387606,3.349588398482983,8.371146811110634,16.224603873588382,0.9699525566757943,0.05678888638006454,0.06126178294662166
2,1779654295.6713324,-0.916748046875,0.237060546875,-0.188232421875,-3.0610687022900764,-1.748091603053435,-2.687022900763359,-0.056884765625,-0.992919921875,0.079833984375,1.6488549618320612,-1.16793893129771,-0.1526717557251908,0.011345624923706055,0.011345624923706055,0.916748046875,-0.188232421875,0.992919921875,0.079833984375,-1.748091603053435,-1.6488549618320612,-11.60306293354191,4.596877868822385,-11.650355089875543,4.552205126257713,-16.202560216133257,-0.3745419624764246,-0.4082584088772051,0.9654305407323353,0.9977471187017555,4.4323873840214505,2.0263545339834432,7.931635540641264,16.03084720150914,0.9705968620804974,0.010531227380418784,0.05927951701524324
3,1779654295.6823995,-0.9169921875,0.264892578125,-0.187255859375,-3.877862595419847,-1.6946564885496185,-2.870229007633588,-0.065673828125,-0.995361328125,0.076416015625,1.381679389312977,-2.3969465648854964,-0.2519083969465648,0.022412776947021484,0.01106715202331543,0.9169921875,-0.187255859375,0.995361328125,0.076416015625,-1.6946564885496185,-1.381679389312977,-11.541494449624553,4.3901078715453234,-11.66655779763688,4.533977750431437,-16.200535548068316,-0.37251729441148385,-0.4084056164938922,0.9726805779658676,1.0004482158869374,5.1135010980150355,2.778101619851378,9.002308234709208,15.789555000709761,0.9702140375646596,-0.06476750592639746,0.07419504649116915
4,1779654295.6934533,-0.916015625,0.25048828125,-0.197998046875,-5.068702290076335,-1.534351145038168,-3.1603053435114505,-0.0654296875,-1.0,0.086181640625,1.0305343511450382,-3.442748091603053,-0.3969465648854962,0.03346657752990723,0.011053800582885742,0.916015625,-0.197998046875,1.0,0.086181640625,-1.534351145038168,-1.0305343511450382,-12.196920073346993,4.9256735612041584,-11.69378624650083,4.530648171859748,-16.224434418360577,-0.3964161647037443,-0.4063072777919969,0.9700681578394553,1.005837123587693,6.167131116324028,3.6155334387197673,11.213423184973305,15.599118534914242,0.969164948463469,-0.1568415045058842,0.09222403793850109
5,1779654295.704523,-0.921875,0.2470703125,-0.190185546875,-6.351145038167939,-1.1603053435114503,-3.648854961832061,-0.078369140625,-0.998046875,0.089599609375,0.900763358778626,-4.877862595419847,-0.7404580152671756,0.04453635215759277,0.011069774627685547,0.921875,-0.190185546875,0.998046875,0.089599609375,-1.1603053435114503,-0.900763358778626,-11.656751462166707,5.129973552655855,-11.705632983093079,4.532862857048604,-16.23849584014168,-0.41047758648484844,-0.40386433964688145,0.9731740836993094,1.0051205782888535,7.416029552160165,5.015296222626097,13.709185558368027,15.436197677620536,0.9667421626422623,-0.12677028851500438,0.09654513926016055
6,1779654295.715594,-0.916748046875,0.24755859375,-0.189453125,-7.282442748091603,-0.9770992366412212,-3.908396946564885,-0.069091796875,-0.994873046875,0.093505859375,0.6030534351145038,-6.33587786259542,-1.0381679389312977,0.05560731887817383,0.011070966720581055,0.916748046875,-0.189453125,0.994873046875,0.093505859375,-0.9770992366412212,-0.6030534351145038,-11.676250046225832,5.369327001304338,-11.715646408824663,4.543049283113052,-16.258695691937714,-0.4306774382808811,-0.40040219599693216,0.968299914985471,1.001643350465234,8.322515364323129,6.448628877889855,16.104881661403503,15.31530357046227,0.9663583798774517,-0.04442637152351381,0.09382933650917948
7,1779654295.726727,-0.912353515625,0.248291015625,-0.181884765625,-8.51908396946565,-0.5954198473282443,-4.549618320610687,-0.067626953125,-0.9873046875,0.10546875,0.3969465648854962,-7.427480916030534,-0.8854961832061069,0.06674027442932129,0.011132955551147461,0.912353515625,-0.181884765625,0.9873046875,0.10546875,-0.5954198473282443,-0.3969465648854962,-11.274546510729463,6.097493577509412,-11.713320617903443,4.56980736430719,-16.283127982210633,-0.4551097285538006,-0.3960306502188854,0.9628704138563259,0.9952223912146502,9.676174003015625,7.4906036354785694,18.843065435655156,15.281478579196376,0.9657545094485679,0.011251195803644976,0.095916570175118
8,1779654295.7378125,-0.906494140625,0.2509765625,-0.163330078125,-9.374045801526718,-0.0458015267175572,-4.580152671755725,-0.066162109375,-0.988525390625,0.10498046875,0.6793893129770993,-8.755725190839694,-1.0610687022900764,0.07782578468322754,0.01108551025390625,0.906494140625,-0.163330078125,0.988525390625,0.10498046875,-0.0458015267175572,-0.6793893129770993,-10.213838337167767,6.0620364487718765,-11.68382855091692,4.592271196344989,-16.27609974726191,-0.448081493605077,-0.392380203795495,0.9546714494170716,0.9962834794606543,10.433246425037677,8.845912064172458,21.240961334101094,15.327523723552252,0.9666021627694193,-0.018717283538045137,0.09341715875741811
9,1779654295.7488582,-0.9130859375,0.256103515625,-0.166015625,-10.01526717557252,1.923664122137405,-4.67175572519084,-0.0478515625,-0.990966796875,0.098876953125,0.8091603053435115,-9.34351145038168,-0.6030534351145038,0.08887147903442383,0.011045694351196289,0.9130859375,-0.166015625,0.990966796875,0.098876953125,1.923664122137405,-0.8091603053435115,-10.304846468766033,5.698014481387111,-11.63542566746496,4.605627079380166,-16.241052746845124,-0.41303449318829166,-0.3889002403788621,0.9627440613786611,0.9970364167881093,11.217457903141533,9.397851885870544,22.22409066234126,15.441157998562957,0.9653478393406978,0.04342138956421593,0.0919538473094472
10,1779654295.759895,-0.918701171875,0.253173828125,-0.172607421875,-10.603053435114504,0.3282442748091603,-4.809160305343512,-0.03662109375,-1.001220703125,0.10400390625,0.5877862595419847,-9.381679389312977,-0.4351145038167939,0.09990835189819336,0.011036872863769531,0.918701171875,-0.172607421875,1.001220703125,0.10400390625,0.3282442748091603,-0.5877862595419847,-10.640797968465082,5.930449885970445,-11.611982778962219,4.625765959738689,-16.23774873870091,-0.4097304850440757,-0.3834959055643748,0.9684534849636814,1.0072739515091336,11.647339150824541,9.41013950386486,22.610297316507484,15.435354176287808,0.9675582500511967,0.2084348117745023,0.09658076579526238
