calibration_position,samples,sampling_rate_hz,s1_ax_mean_g,s1_ax_std_g,s1_ay_mean_g,s1_ay_std_g,s1_az_mean_g,s1_az_std_g,s2_ax_mean_g,s2_ax_std_g,s2_ay_mean_g,s2_ay_std_g,s2_az_mean_g,s2_az_std_g
standing,2023,83.51527219146988,-0.953562715297516,0.006595391813919102,0.0729145346097998,0.007341792394375862,-0.09022933047299803,0.006858498492401184,-0.09627926308391004,0.00913166853876069,-0.9877792109490855,0.005767114972572053,0.1296497746617029,0.008554630610608287
horizontal_box_up,1275,83.72114933580846,0.038259995404411766,0.0034236236590563466,0.12006146599264705,0.004254849600467485,0.8990963924632352,0.005567768478286264,-0.04491613051470588,0.00656603680478399,0.09374004289215686,0.006520965873670192,1.003917356004902,0.006706256297608156
lateral_side,1551,83.48701208224686,0.095282844233559,0.006273237759646405,0.9758757265977596,0.0039038559839907655,-0.28643708318222116,0.0059165995930878105,-0.9544694262270309,0.006804169502339422,0.13721930911508703,0.005556013585206205,-0.1338299887169568,0.005943396236851294
