sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1780506516.2959747,-0.85791015625,0.448486328125,-0.21728515625,-4.083969465648855,-0.1984732824427481,17.053435114503817,0.97216796875,-0.239990234375,-0.068603515625,-0.1297709923664122,-1.0458015267175573,-1.3740458015267176
2,1780506516.307454,-0.838623046875,0.458984375,-0.20751953125,-9.740458015267176,0.8091603053435115,23.27480916030534,0.983154296875,-0.25390625,-0.072265625,0.4351145038167939,-0.9007633587786259,-1.9312977099236641
3,1780506516.3185277,-0.885498046875,0.321533203125,-0.1318359375,-7.854961832061068,-1.6259541984732824,26.862595419847327,0.986328125,-0.261474609375,-0.07421875,0.6641221374045801,-0.04580152671755725,0.6335877862595419
4,1780506516.3295903,-0.8974609375,0.3427734375,-0.18115234375,-6.282442748091603,-3.0610687022900764,29.99236641221374,0.9853515625,-0.26123046875,-0.08984375,0.648854961832061,0.816793893129771,1.0
5,1780506516.3406563,-0.908447265625,0.3212890625,-0.20458984375,-10.038167938931299,-2.595419847328244,32.66412213740458,0.984375,-0.263427734375,-0.071533203125,1.1755725190839694,0.6183206106870229,1.3511450381679388
6,1780506516.3517601,-0.94091796875,0.201416015625,-0.210693359375,-9.694656488549619,-3.0763358778625953,32.49618320610687,0.99658203125,-0.26708984375,-0.061767578125,0.015267175572519083,1.015267175572519,0.7557251908396947
7,1780506516.362857,-0.96630859375,0.1484375,-0.215576171875,-9.694656488549619,-3.0381679389312977,30.81679389312977,1.00146484375,-0.280517578125,-0.090087890625,1.9312977099236641,3.0229007633587788,-0.8015267175572519
8,1780506516.3739197,-1.004150390625,0.066162109375,-0.225341796875,-10.49618320610687,-3.183206106870229,27.00763358778626,1.013671875,-0.278076171875,-0.084228515625,1.984732824427481,4.473282442748092,-2.183206106870229
9,1780506516.384983,-0.97900390625,-0.0673828125,-0.210205078125,-9.145038167938932,-1.9694656488549618,20.30534351145038,1.01123046875,-0.278564453125,-0.05419921875,2.49618320610687,2.6793893129770994,-1.6564885496183206
10,1780506516.396052,-0.92236328125,-0.18212890625,-0.22802734375,-7.931297709923665,-4.236641221374046,11.221374045801527,0.99755859375,-0.24462890625,-0.08447265625,2.618320610687023,1.0610687022900764,0.21374045801526717
11,1780506516.407123,-0.8818359375,-0.2548828125,-0.231689453125,-6.778625954198473,-4.038167938931298,0.9541984732824428,0.976806640625,-0.234619140625,-0.092529296875,2.572519083969466,0.916030534351145,2.564885496183206
12,1780506516.4181912,-0.960205078125,-0.146728515625,-0.256591796875,3.6412213740458017,-4.4961832061068705,-6.0534351145038165,1.05810546875,-0.23193359375,-0.0859375,0.022900763358778626,2.2213740458015265,2.4427480916030535
13,1780506516.4292428,-0.92626953125,-0.146484375,-0.244873046875,-3.7557251908396947,-4.00763358778626,-13.961832061068701,0.993408203125,-0.225830078125,-0.0615234375,2.099236641221374,0.6870229007633588,4.862595419847328
14,1780506516.4403107,-0.838623046875,0.01904296875,-0.28662109375,5.175572519083969,-3.015267175572519,-19.549618320610687,0.98291015625,-0.2119140625,-0.084228515625,2.2061068702290076,0.7557251908396947,7.3816793893129775
15,1780506516.4513838,-0.813720703125,0.2548828125,-0.311767578125,-6.175572519083969,-0.19083969465648856,-18.572519083969464,0.992919921875,-0.239501953125,-0.0849609375,2.2061068702290076,0.9312977099236641,8.50381679389313
16,1780506516.4625,-0.917724609375,0.239013671875,-0.263916015625,-2.7099236641221376,-0.33587786259541985,-17.251908396946565,1.014892578125,-0.24609375,-0.088623046875,1.015267175572519,0.7175572519083969,8.122137404580153
