sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1779653067.0639687,-0.949951171875,0.080078125,-0.099365234375,-3.198473282442748,-0.6564885496183206,-2.2290076335877864,-0.0849609375,-0.985595703125,0.12841796875,-0.366412213740458,-1.1755725190839694,0.44274809160305345
2,1779653067.0753295,-0.947998046875,0.081298828125,-0.094970703125,-3.3053435114503817,-0.8702290076335878,-2.1603053435114505,-0.093994140625,-0.991943359375,0.12060546875,-0.3282442748091603,-1.9312977099236641,0.48854961832061067
3,1779653067.0864105,-0.95166015625,0.084716796875,-0.0947265625,-4.282442748091603,-0.2595419847328244,-2.381679389312977,-0.103759765625,-0.982177734375,0.1123046875,-0.022900763358778626,-2.801526717557252,0.44274809160305345
4,1779653067.097469,-0.94873046875,0.088134765625,-0.09716796875,-4.923664122137405,-0.10687022900763359,-2.3053435114503817,-0.1015625,-0.990234375,0.124755859375,0.48854961832061067,-2.8931297709923665,0.6335877862595419
5,1779653067.1085598,-0.950927734375,0.086181640625,-0.092041015625,-4.938931297709924,0.030534351145038167,-2.6564885496183206,-0.100341796875,-0.9853515625,0.12353515625,0.24427480916030533,-2.6717557251908395,0.4580152671755725
6,1779653067.1196496,-0.951904296875,0.080322265625,-0.103515625,-4.977099236641221,-0.08396946564885496,-2.519083969465649,-0.09521484375,-0.985107421875,0.108154296875,0.1984732824427481,-2.519083969465649,0.6412213740458015
7,1779653067.1307096,-0.94775390625,0.080078125,-0.101806640625,-4.633587786259542,-0.6946564885496184,-2.2442748091603053,-0.091064453125,-0.999755859375,0.112060546875,0.015267175572519083,-1.984732824427481,0.5648854961832062
8,1779653067.14182,-0.955078125,0.08251953125,-0.0947265625,-3.687022900763359,-0.7251908396946565,-2.351145038167939,-0.096435546875,-0.9833984375,0.12890625,-0.21374045801526717,-0.9618320610687023,0.5419847328244275
9,1779653067.1528935,-0.953369140625,0.077392578125,-0.09228515625,-3.015267175572519,-0.732824427480916,-2.3435114503816794,-0.104736328125,-0.98681640625,0.1240234375,1.9389312977099236,-0.5190839694656488,0.6030534351145038
10,1779653067.163968,-0.944091796875,0.084716796875,-0.087890625,-3.0,-0.4351145038167939,-2.450381679389313,-0.0986328125,-0.986328125,0.12744140625,0.2748091603053435,-0.45038167938931295,0.37404580152671757
11,1779653067.1750329,-0.9443359375,0.064697265625,-0.10302734375,-2.885496183206107,-0.2824427480916031,-2.5419847328244276,-0.09619140625,-0.99267578125,0.12890625,0.3435114503816794,-0.4122137404580153,0.22137404580152673
12,1779653067.1861103,-0.950927734375,0.093017578125,-0.107177734375,-2.564885496183206,-0.16793893129770993,-2.519083969465649,-0.10693359375,-0.990966796875,0.138916015625,0.17557251908396945,1.9389312977099236,0.24427480916030533
13,1779653067.1971703,-0.956787109375,0.084716796875,-0.091064453125,-2.183206106870229,-0.3282442748091603,-2.6106870229007635,-0.099853515625,-0.986328125,0.141845703125,-0.07633587786259542,-0.3435114503816794,0.1297709923664122
14,1779653067.2082553,-0.948974609375,0.086181640625,-0.0927734375,-2.4580152671755724,-0.3893129770992366,-2.4122137404580153,-0.0986328125,-0.991943359375,0.141357421875,-0.022900763358778626,-1.0229007633587786,0.3282442748091603
15,1779653067.219348,-0.95166015625,0.08203125,-0.099365234375,-3.4122137404580153,-1.9236641221374047,-2.6030534351145036,-0.1005859375,-0.98876953125,0.140625,0.11450381679389313,-1.9312977099236641,0.4580152671755725
16,1779653067.230406,-0.965576171875,0.0869140625,-0.080078125,-4.091603053435114,0.25190839694656486,-2.4732824427480917,-0.087890625,-0.971923828125,0.128173828125,0.3282442748091603,-2.480916030534351,0.42748091603053434
17,1779653067.241465,-0.967529296875,0.080810546875,-0.109130859375,-3.931297709923664,0.33587786259541985,-2.427480916030534,-0.082763671875,-0.992919921875,0.109619140625,0.183206106870229,-1.9770992366412214,0.6412213740458015
