sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1780507111.342985,-0.919189453125,0.220458984375,-0.236572265625,-8.893129770992367,0.07633587786259542,-4.076335877862595,-0.064453125,-0.994873046875,0.068603515625,-0.7404580152671756,-7.343511450381679,-0.09923664122137404
2,1780507111.354521,-0.911376953125,0.204833984375,-0.2197265625,-8.702290076335878,-0.1297709923664122,-4.137404580152672,-0.084228515625,-1.000244140625,0.07666015625,-0.8625954198473282,-9.709923664122137,-0.42748091603053434
3,1780507111.3656073,-0.922607421875,0.21337890625,-0.218505859375,-8.106870229007633,-0.0916030534351145,-4.580152671755725,-0.07861328125,-1.0068359375,0.025390625,-0.42748091603053434,-6.458015267175573,-0.5572519083969466
4,1780507111.3766894,-0.931884765625,0.227783203125,-0.224365234375,-8.183206106870228,-0.16793893129770993,-4.320610687022901,-0.05517578125,-1.01318359375,0.051513671875,0.16030534351145037,-6.67175572519084,1.8778625954198473
5,1780507111.3878002,-0.929931640625,0.23828125,-0.23486328125,-8.83206106870229,-0.2595419847328244,-3.954198473282443,-0.0625,-1.00341796875,0.03662109375,0.4122137404580153,-5.312977099236641,0.3816793893129771
6,1780507111.3989265,-0.93603515625,0.210693359375,-0.22119140625,-9.259541984732824,-1.8702290076335877,-3.7938931297709924,-0.05419921875,-0.997314453125,0.067626953125,0.1984732824427481,-5.2748091603053435,0.366412213740458
7,1780507111.4100237,-0.93017578125,0.192138671875,-0.218505859375,-6.557251908396947,-0.48091603053435117,-3.4885496183206106,-0.048095703125,-0.998291015625,0.069580078125,-0.04580152671755725,-4.465648854961832,0.24427480916030533
8,1780507111.4211016,-0.922607421875,0.212158203125,-0.202392578125,-6.0458015267175576,-0.3435114503816794,-3.2900763358778624,-0.05419921875,-0.985107421875,0.069580078125,-0.09923664122137404,-3.5267175572519083,0.40458015267175573
9,1780507111.4321926,-0.923583984375,0.218505859375,-0.218505859375,-6.267175572519084,-0.2824427480916031,-3.053435114503817,-0.050048828125,-0.993408203125,0.064208984375,0.0916030534351145,-3.3587786259541983,0.48091603053435117
10,1780507111.4432719,-0.92578125,0.195556640625,-0.206298828125,-5.519083969465649,-0.20610687022900764,-2.786259541984733,-0.050048828125,-0.99853515625,0.0419921875,0.31297709923664124,-2.9236641221374047,0.46564885496183206
11,1780507111.454357,-0.924560546875,0.19921875,-0.229736328125,-4.8396946564885495,-0.44274809160305345,-2.7938931297709924,-0.04443359375,-0.996826171875,0.048095703125,0.3435114503816794,-2.145038167938931,0.4732824427480916
12,1780507111.4654274,-0.93017578125,0.211181640625,-0.212646484375,-4.229007633587786,-0.48854961832061067,-2.4198473282442747,-0.04443359375,-1.01513671875,0.046630859375,0.2824427480916031,-1.5038167938931297,0.8320610687022901
13,1780507111.476504,-0.92578125,0.21435546875,-0.22216796875,-3.8244274809160306,-0.6183206106870229,-1.9694656488549618,-0.041748046875,-0.985107421875,0.044677734375,0.24427480916030533,-0.6793893129770993,1.1145038167938932
14,1780507111.4875817,-0.924072265625,0.208740234375,-0.22021484375,-3.3969465648854964,-0.7633587786259542,-1.6106870229007633,-0.048583984375,-1.005615234375,0.056884765625,0.33587786259541985,0.2748091603053435,1.3740458015267176
15,1780507111.4986537,-0.931640625,0.189208984375,-0.21337890625,-2.5114503816793894,-0.8702290076335878,-1.4961832061068703,-0.050048828125,-0.99609375,0.060546875,0.6030534351145038,1.183206106870229,1.1145038167938932
