sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1779654295.6599867,-0.919189453125,0.251708984375,-0.189208984375,-2.1908396946564888,-2.0,-2.3587786259541983,-0.058837890625,-0.99267578125,0.079345703125,1.916030534351145,1.9389312977099236,1.9465648854961832
2,1779654295.6713324,-0.916748046875,0.237060546875,-0.188232421875,-3.0610687022900764,-1.748091603053435,-2.687022900763359,-0.056884765625,-0.992919921875,0.079833984375,1.6488549618320612,-1.16793893129771,-0.15267175572519084
3,1779654295.6823995,-0.9169921875,0.264892578125,-0.187255859375,-3.877862595419847,-1.6946564885496183,-2.8702290076335877,-0.065673828125,-0.995361328125,0.076416015625,1.381679389312977,-2.3969465648854964,-0.25190839694656486
4,1779654295.6934533,-0.916015625,0.25048828125,-0.197998046875,-5.068702290076335,-1.534351145038168,-3.1603053435114505,-0.0654296875,-1.0,0.086181640625,1.0305343511450382,-3.4427480916030535,-0.3969465648854962
5,1779654295.7045233,-0.921875,0.2470703125,-0.190185546875,-6.351145038167939,-1.1603053435114503,-3.648854961832061,-0.078369140625,-0.998046875,0.089599609375,0.9007633587786259,-4.877862595419847,-0.7404580152671756
6,1779654295.715594,-0.916748046875,0.24755859375,-0.189453125,-7.282442748091603,-0.9770992366412213,-3.9083969465648853,-0.069091796875,-0.994873046875,0.093505859375,0.6030534351145038,-6.33587786259542,-1.0381679389312977
7,1779654295.726727,-0.912353515625,0.248291015625,-0.181884765625,-8.51908396946565,-0.5954198473282443,-4.549618320610687,-0.067626953125,-0.9873046875,0.10546875,0.3969465648854962,-7.427480916030534,-0.8854961832061069
8,1779654295.7378125,-0.906494140625,0.2509765625,-0.163330078125,-9.374045801526718,-0.04580152671755725,-4.580152671755725,-0.066162109375,-0.988525390625,0.10498046875,0.6793893129770993,-8.755725190839694,-1.0610687022900764
9,1779654295.7488582,-0.9130859375,0.256103515625,-0.166015625,-10.01526717557252,1.9236641221374047,-4.67175572519084,-0.0478515625,-0.990966796875,0.098876953125,0.8091603053435115,-9.34351145038168,-0.6030534351145038
10,1779654295.759895,-0.918701171875,0.253173828125,-0.172607421875,-10.603053435114504,0.3282442748091603,-4.809160305343512,-0.03662109375,-1.001220703125,0.10400390625,0.5877862595419847,-9.381679389312977,-0.4351145038167939
11,1779654295.770967,-0.93115234375,0.244873046875,-0.159912109375,-10.80916030534351,0.5954198473282443,-4.488549618320611,-0.0263671875,-1.0048828125,0.102783203125,0.45038167938931295,-8.290076335877863,-0.366412213740458
12,1779654295.782022,-0.922607421875,0.2275390625,-0.16455078125,-11.595419847328245,0.8854961832061069,-4.526717557251908,-0.012451171875,-1.019775390625,0.108642578125,-0.15267175572519084,-7.1679389312977095,-0.6106870229007634
13,1779654295.7930794,-0.945556640625,0.216552734375,-0.163818359375,-8.053435114503817,0.8015267175572519,-4.450381679389313,-0.00146484375,-1.005615234375,0.1015625,-0.25190839694656486,-5.786259541984733,-0.5954198473282443
14,1779654295.8041658,-0.939697265625,0.218505859375,-0.170166015625,-6.603053435114504,0.6335877862595419,-4.030534351145038,-0.0283203125,-1.00390625,0.08984375,-0.31297709923664124,-4.534351145038168,-0.732824427480916
15,1779654295.815243,-0.935546875,0.2294921875,-0.1806640625,-5.916030534351145,0.6946564885496184,-4.236641221374046,-0.02099609375,-1.0,0.095458984375,-0.48854961832061067,-4.038167938931298,-0.6183206106870229
16,1779654295.8263066,-0.91748046875,0.227783203125,-0.1650390625,-5.748091603053435,1.1145038167938932,-4.076335877862595,-0.023681640625,-0.993896484375,0.09326171875,-0.3969465648854962,-3.885496183206107,-0.48091603053435117
17,1779654295.8373902,-0.917236328125,0.23583984375,-0.169189453125,-5.488549618320611,1.1984732824427482,-3.9923664122137406,-0.020751953125,-0.989501953125,0.082763671875,-0.3282442748091603,-4.122137404580153,-0.31297709923664124
18,1779654295.8484523,-0.914794921875,0.244140625,-0.177490234375,-5.877862595419847,1.2213740458015268,-3.633587786259542,-0.01806640625,-0.998046875,0.076904296875,-0.3053435114503817,-4.717557251908397,-0.08396946564885496
19,1779654295.8595076,-0.916259765625,0.24560546875,-0.19287109375,-6.625954198473282,1.3435114503816794,-3.717557251908397,-0.043701171875,-0.997802734375,0.072265625,-0.5343511450381679,-5.595419847328245,-0.15267175572519084
20,1779654295.870556,-0.925048828125,0.241455078125,-0.18994140625,-7.2748091603053435,1.4351145038167938,-3.66412213740458,-0.032470703125,-1.01416015625,0.071044921875,-0.5572519083969466,-6.206106870229007,0.19083969465648856
21,1779654295.8815904,-0.9267578125,0.235107421875,-0.197509765625,-9.740458015267176,1.4961832061068703,-3.7786259541984735,-0.0185546875,-0.999755859375,0.0673828125,-0.7709923664122137,-6.061068702290076,0.4122137404580153
22,1779654295.8926437,-0.921630859375,0.22265625,-0.189208984375,-7.564885496183206,1.3587786259541985,-3.50381679389313,-0.0126953125,-1.001708984375,0.063720703125,-0.6793893129770993,-5.343511450381679,0.10687022900763359
23,1779654295.9037144,-0.924072265625,0.206298828125,-0.183837890625,-6.862595419847328,1.16793893129771,-3.312977099236641,0.0146484375,-0.9951171875,0.044189453125,-0.6717557251908397,-4.358778625954199,0.1450381679389313
