sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1779652915.2882922,0.0986328125,0.9736328125,-0.2900390625,-3.6564885496183206,-0.08396946564885496,-2.3206106870229006,-0.9501953125,0.133544921875,-0.13330078125,-0.1297709923664122,-1.3740458015267176,0.6641221374045801
2,1779652915.2997456,0.1064453125,0.975341796875,-0.2841796875,-3.7786259541984735,0.05343511450381679,-2.3053435114503817,-0.951416015625,0.14306640625,-0.135498046875,-0.2366412213740458,-1.3893129770992367,0.732824427480916
3,1779652915.3108304,0.104248046875,0.976806640625,-0.294677734375,-3.572519083969466,0.16793893129770993,-2.2519083969465647,-0.9580078125,0.136474609375,-0.1298828125,-0.25190839694656486,-1.2748091603053435,0.5725190839694656
4,1779652915.3218896,0.096435546875,0.977294921875,-0.2666015625,-3.6717557251908395,0.0916030534351145,-2.030534351145038,-0.94384765625,0.13818359375,-0.1328125,-0.2900763358778626,-1.4045801526717556,0.6259541984732825
5,1779652915.3330238,0.10009765625,0.970458984375,-0.2880859375,-3.66412213740458,-0.22900763358778625,-2.33587786259542,-0.9482421875,0.1357421875,-0.1337890625,-0.2366412213740458,-1.3511450381679388,0.6259541984732825
6,1779652915.3441267,0.095458984375,0.978271484375,-0.280029296875,-3.5267175572519083,0.16793893129770993,-2.3969465648854964,-0.956787109375,0.13720703125,-0.132080078125,-0.366412213740458,-1.3358778625954197,0.6106870229007634
7,1779652915.35523,0.098388671875,0.9736328125,-0.281494140625,-3.480916030534351,-0.061068702290076333,-2.2595419847328246,-0.966796875,0.135009765625,-0.146240234375,-0.37404580152671757,-1.4580152671755726,0.6412213740458015
8,1779652915.3662915,0.09765625,0.974365234375,-0.29052734375,-3.6412213740458017,0.12213740458015267,-2.3587786259541983,-0.9560546875,0.1337890625,-0.13623046875,-0.366412213740458,-1.4045801526717556,0.6564885496183206
9,1779652915.3773634,0.09228515625,0.955078125,-0.28662109375,-3.564885496183206,0.022900763358778626,-2.3206106870229006,-0.95068359375,0.142333984375,-0.118896484375,-0.2748091603053435,-1.4122137404580153,0.7022900763358778
10,1779652915.3884506,0.0986328125,0.979248046875,-0.29296875,-3.6793893129770994,-0.04580152671755725,-2.3206106870229006,-0.949462890625,0.13525390625,-0.131103515625,-0.16793893129770993,-1.3206106870229009,0.5419847328244275
11,1779652915.3995247,0.097900390625,0.971923828125,-0.289794921875,-3.5267175572519083,0.0916030534351145,-2.33587786259542,-0.961181640625,0.13916015625,-0.13134765625,-0.21374045801526717,-1.3511450381679388,0.6030534351145038
12,1779652915.4106023,0.09912109375,0.9775390625,-0.28662109375,-3.49618320610687,0.16793893129770993,-2.351145038167939,-0.93896484375,0.1484375,-0.13427734375,-0.3053435114503817,-1.4961832061068703,0.5725190839694656
13,1779652915.42167,0.1064453125,0.97705078125,-0.283447265625,-3.5877862595419847,0.1984732824427481,-2.33587786259542,-0.96142578125,0.139404296875,-0.1328125,-0.46564885496183206,-1.3435114503816794,0.5190839694656488
14,1779652915.4327633,0.097900390625,0.973876953125,-0.2919921875,-3.3893129770992365,-1.9465648854961832,-2.068702290076336,-0.951171875,0.13427734375,-0.137939453125,-0.33587786259541985,-1.366412213740458,0.5877862595419847
15,1779652915.443859,0.089111328125,0.97802734375,-0.290283203125,-3.435114503816794,0.17557251908396945,-2.2595419847328246,-0.965576171875,0.139892578125,-0.129150390625,-0.35877862595419846,-1.297709923664122,0.7404580152671756
